2017-03-14 11:22:38 startup archives install
2017-03-14 11:22:38 install base-passwd:amd64 <none> 3.5.37
2017-03-14 11:22:38 status half-installed base-passwd:amd64 3.5.37
2017-03-14 11:22:38 status unpacked base-passwd:amd64 3.5.37
2017-03-14 11:22:38 status unpacked base-passwd:amd64 3.5.37
2017-03-14 11:22:38 configure base-passwd:amd64 3.5.37 3.5.37
2017-03-14 11:22:38 status unpacked base-passwd:amd64 3.5.37
2017-03-14 11:22:38 status half-configured base-passwd:amd64 3.5.37
2017-03-14 11:22:38 status installed base-passwd:amd64 3.5.37
2017-03-14 11:22:38 startup archives install
2017-03-14 11:22:38 install base-files:amd64 <none> 8+deb8u7
2017-03-14 11:22:38 status half-installed base-files:amd64 8+deb8u7
2017-03-14 11:22:38 status unpacked base-files:amd64 8+deb8u7
2017-03-14 11:22:38 status unpacked base-files:amd64 8+deb8u7
2017-03-14 11:22:38 configure base-files:amd64 8+deb8u7 8+deb8u7
2017-03-14 11:22:38 status unpacked base-files:amd64 8+deb8u7
2017-03-14 11:22:38 status unpacked base-files:amd64 8+deb8u7
2017-03-14 11:22:38 status unpacked base-files:amd64 8+deb8u7
2017-03-14 11:22:38 status unpacked base-files:amd64 8+deb8u7
2017-03-14 11:22:38 status unpacked base-files:amd64 8+deb8u7
2017-03-14 11:22:38 status unpacked base-files:amd64 8+deb8u7
2017-03-14 11:22:38 status half-configured base-files:amd64 8+deb8u7
2017-03-14 11:22:38 status installed base-files:amd64 8+deb8u7
2017-03-14 11:22:38 startup archives install
2017-03-14 11:22:38 upgrade dpkg 1.17.27 1.17.27
2017-03-14 11:22:38 status half-configured dpkg 1.17.27
2017-03-14 11:22:38 status unpacked dpkg 1.17.27
2017-03-14 11:22:38 status half-installed dpkg 1.17.27
2017-03-14 11:22:39 status half-installed dpkg 1.17.27
2017-03-14 11:22:39 status unpacked dpkg 1.17.27
2017-03-14 11:22:39 status unpacked dpkg 1.17.27
2017-03-14 11:22:39 configure dpkg 1.17.27 1.17.27
2017-03-14 11:22:39 status unpacked dpkg 1.17.27
2017-03-14 11:22:39 status unpacked dpkg 1.17.27
2017-03-14 11:22:39 status unpacked dpkg 1.17.27
2017-03-14 11:22:39 status unpacked dpkg 1.17.27
2017-03-14 11:22:39 status unpacked dpkg 1.17.27
2017-03-14 11:22:39 status half-configured dpkg 1.17.27
2017-03-14 11:22:39 status installed dpkg 1.17.27
2017-03-14 11:22:39 startup archives install
2017-03-14 11:22:39 install libc6:amd64 <none> 2.19-18+deb8u7
2017-03-14 11:22:39 status half-installed libc6:amd64 2.19-18+deb8u7
2017-03-14 11:22:39 status unpacked libc6:amd64 2.19-18+deb8u7
2017-03-14 11:22:39 status unpacked libc6:amd64 2.19-18+deb8u7
2017-03-14 11:22:39 configure libc6:amd64 2.19-18+deb8u7 2.19-18+deb8u7
2017-03-14 11:22:39 status unpacked libc6:amd64 2.19-18+deb8u7
2017-03-14 11:22:39 status unpacked libc6:amd64 2.19-18+deb8u7
2017-03-14 11:22:39 status half-configured libc6:amd64 2.19-18+deb8u7
2017-03-14 11:22:39 status installed libc6:amd64 2.19-18+deb8u7
2017-03-14 11:22:39 startup archives install
2017-03-14 11:22:39 install perl-base:amd64 <none> 5.20.2-3+deb8u6
2017-03-14 11:22:39 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-03-14 11:22:39 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-03-14 11:22:39 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-03-14 11:22:39 configure perl-base:amd64 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2017-03-14 11:22:39 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-03-14 11:22:39 status half-configured perl-base:amd64 5.20.2-3+deb8u6
2017-03-14 11:22:39 status installed perl-base:amd64 5.20.2-3+deb8u6
2017-03-14 11:22:39 startup archives install
2017-03-14 11:22:39 install mawk:amd64 <none> 1.3.3-17
2017-03-14 11:22:39 status half-installed mawk:amd64 1.3.3-17
2017-03-14 11:22:39 status unpacked mawk:amd64 1.3.3-17
2017-03-14 11:22:39 status unpacked mawk:amd64 1.3.3-17
2017-03-14 11:22:39 configure mawk:amd64 1.3.3-17 1.3.3-17
2017-03-14 11:22:39 status unpacked mawk:amd64 1.3.3-17
2017-03-14 11:22:39 status half-configured mawk:amd64 1.3.3-17
2017-03-14 11:22:39 status installed mawk:amd64 1.3.3-17
2017-03-14 11:22:39 startup archives install
2017-03-14 11:22:40 install debconf:all <none> 1.5.56
2017-03-14 11:22:40 status half-installed debconf:all 1.5.56
